source_id,source_telescope,disposition,period,period_err_upper,period_err_lower,duration,duration_err_upper,duration_err_lower,transit_midpoint,transit_midpoint_err_upper,transit_midpoint_err_lower,depth,depth_err_upper,depth_err_lower,planet_radius,planet_radius_err_upper,planet_radius_err_lower,equilibrium_temp,insolation_flux,stellar_magnitude,stellar_temp,stellar_temp_err_upper,stellar_temp_err_lower,stellar_radius,stellar_radius_err_upper,stellar_radius_err_lower,stellar_logg,stellar_logg_err_upper,stellar_logg_err_lower,ra,dec,is_outlier
1045.01,TESS,FALSE POSITIVE,3.7039994,3.7e-06,-3.7e-06,4.277,0.599,-0.599,2459301.544126,0.000611,-0.000611,7590.0,1.22092,-1.22092,17.57,0.746573,-0.746573,2149.0,3546.13,9.6306,7013.8,299.6,-299.6,1.9,0.08,-0.08,4.21,0.44,-0.44,159.887704,-32.51188,True
1046.01,TESS,FALSE POSITIVE,1.3042553,2e-06,-2e-06,1.706,0.213,-0.213,2460177.867195,0.001123,-0.001123,914.0,628.954,-628.954,9.36472,1.30647,-1.30647,3569.0,26944.7,10.0119,6762.0,130.2,-130.2,1.75,0.07,-0.07,4.11,0.08,-0.08,126.419468,-60.907514,True
1047.01,TESS,FALSE POSITIVE,0.62627,2e-05,-2e-05,0.666,0.169,-0.169,2458544.79061,0.00092,-0.00092,1880.0,68.5212,-68.5212,5.72162,0.894462,-0.894462,2101.0,3235.57,10.2355,5622.0,131.2,-131.2,0.93,0.05,-0.05,4.5,0.07,-0.07,144.581535,-67.505097,True
1048.01,TESS,FALSE POSITIVE,0.30412,1e-05,-1e-05,0.748,0.1,-0.1,2458518.376,0.00075,-0.00075,1330.0,3.83107,-3.83107,10.417,0.668057,-0.668057,6413.0,280833.0,8.802,11892.0,235.8,-235.8,2.52,0.09,-0.09,4.14,0.07,-0.07,136.527702,-54.903922,True
1049.01,TESS,CONFIRMED,2.1805277,2.7e-06,-2.7e-06,2.969175,0.040721,-0.040721,2459363.821393,0.000699,-0.000699,16340.1353205,426.89557,-426.89557,16.808853,0.8821375,-0.8821375,1654.404068,1770.4650539,11.0657,6599.0,200.0,-200.0,1.2714601,0.0635578,-0.0635578,4.21017,1.96411,-1.96411,253.768848,-28.710584,False
105.01,TESS,CONFIRMED,2.1846669,5e-07,-5e-07,2.86528,0.0090748,-0.0090748,2459084.58501,0.00011,-0.00011,11708.0228549,34.928566,-34.928566,13.7028527,0.6619751,-0.6619751,1549.4409801,1362.1381428,9.4995,5630.0,,,1.23824,0.0596985,-0.0596985,4.37759,,,337.457824,-48.003099,False
1050.01,TESS,CONFIRMED,3.7354838,2.1e-06,-2.1e-06,4.142,0.045,-0.045,2459355.54563,0.000257,-0.000257,17030.0,0.271732,-0.271732,21.2315,1.19579,-1.19579,1670.0,1292.19,11.0261,6650.0,,,1.57,0.09,-0.09,4.1639,,,239.962248,-28.061794,False
1051.01,TESS,FALSE POSITIVE,21.701669,0.0095323,-0.0095323,8.2676424,0.5088978,-0.5088978,2458657.736625,0.007425,-0.007425,211.6567325,25.132692,-25.132692,2.3751494,0.6983451,-0.6983451,685.2,52.095,7.1278,5625.0,80.0,-80.0,1.56486,0.186629,-0.186629,4.438,,,40.365939,-71.462749,True
1052.01,TESS,CONFIRMED,9.139804,0.0001109,-0.0001109,3.0912936,0.6627002,-0.6627002,2458332.941229,0.002642,-0.002642,358.4157801,33.721474,-33.721474,3.0629855,2.8175755,-2.8175755,1006.9932829,243.011763,9.0197,5958.2,76.0,-76.0,1.58,0.165123,-0.165123,4.34,0.12,-0.12,337.510274,-75.646561,False
1054.01,TESS,CONFIRMED,15.5077855,0.0002372,-0.0002372,4.565,0.427,-0.427,2460122.700139,0.019948,-0.019948,513.0,25.4443,-25.4443,2.43432,0.142957,-0.142957,853.0,88.0718,8.4362,6122.0,194.0,-194.0,1.17,0.05,-0.05,4.30881,0.268555,-0.268555,302.114174,-54.317501,False
1055.01,TESS,CONFIRMED,17.4713078,1.76e-05,-1.76e-05,4.4284819,0.0990118,-0.0990118,2458661.062711,0.000867,-0.000867,1199.7541483,28.872627,-28.872627,3.5766828,0.2409907,-0.2409907,689.3568807,53.3700317,8.0888,5783.54,7.82429,-7.82429,0.974669,0.0546984,-0.0546984,4.49925,0.019231,-0.019231,293.286615,-54.532728,True
1056.01,TESS,CANDIDATE,5.3079507,1.91e-05,-1.91e-05,3.2158594,0.2920944,-0.2920944,2458326.062424,0.001997,-0.001997,391.3830934,26.766296,-26.766296,3.0486928,0.3630359,-0.3630359,1263.9861129,603.2401116,9.6663,6124.3,83.0,-83.0,1.36963,0.0633668,-0.0633668,4.38,0.16,-0.16,339.258703,-76.917605,False
1057.01,TESS,CANDIDATE,51.1701501,0.0001962,-0.0001962,6.6641048,0.2877187,-0.2877187,2458607.350901,0.00308,-0.00308,851.4547808,36.121876,-36.121876,2.9366826,0.26575,-0.26575,466.7322968,11.2148229,9.4091,5599.0,187.0,-187.0,0.943356,0.0456583,-0.0456583,4.46138,0.26998,-0.26998,127.996917,-78.407564,True
1059.01,TESS,CANDIDATE,9.4496506,2.8e-06,-2.8e-06,2.021,0.027,-0.027,2460106.337519,0.000382,-0.000382,19750.0,16.7663,-16.7663,17.0216,1.10249,-1.10249,694.0,38.5799,9.7825,5509.0,186.0,-186.0,0.94,0.06,-0.06,4.39758,2.00408,-2.00408,269.714503,-60.922727,False
106.01,TESS,CONFIRMED,2.8493825,3e-07,-3e-07,3.567,0.053,-0.053,2460201.638583,0.000127,-0.000127,8049.0,25.0232,-25.0232,16.3869,0.734704,-0.734704,1864.0,2005.83,10.3157,6900.0,,,1.77,0.08,-0.08,4.438,,,68.959816,-64.027039,False
1060.01,TESS,CANDIDATE,2.0685633,4e-06,-4e-06,0.373,0.065,-0.065,2460149.536226,0.001995,-0.001995,502.0,169.202,-169.202,3.89739,0.417306,-0.417306,619.0,24.409,9.6652,5687.9,76.0,-76.0,1.14,0.07,-0.07,4.6,0.12,-0.12,299.290995,-48.934476,False
1061.01,TESS,FALSE POSITIVE,0.540933,0.000107,-0.000107,1.674337,0.329757,-0.329757,2458654.253249,0.003078,-0.003078,257.347459,27.641214,-27.641214,2.28501,0.57323,-0.57323,,,9.7345,5525.0,186.0,-186.0,1.21935,0.16458,-0.16458,4.25342,0.29667,-0.29667,284.688908,-41.242483,False
1062.01,TESS,CONFIRMED,4.1150576,5.6e-06,-5.6e-06,1.08,0.323,-0.323,2460177.200429,0.001332,-0.001332,487.0,50.8548,-50.8548,2.30057,0.16833,-0.16833,826.0,77.3573,9.478,5394.0,185.0,-185.0,0.89,0.05,-0.05,4.50942,0.276077,-0.276077,38.120968,-78.023683,False
1063.01,TESS,CANDIDATE,10.0665238,2.37e-05,-2.37e-05,2.4023189,0.1599323,-0.1599323,2458629.391681,0.001492,-0.001492,839.9044871,47.550835,-47.550835,2.7272824,0.2128311,-0.2128311,694.1792631,54.8791715,9.0689,5552.0,187.0,-187.0,0.791742,0.0453065,-0.0453065,4.61783,0.263463,-0.263463,230.555493,-83.056214,False
1064.01,TESS,CONFIRMED,6.4438657,1.65e-05,-1.65e-05,1.9309449,0.3014965,-0.3014965,2458656.668478,0.001185,-0.001185,1121.9512275,76.157646,-76.157646,2.460344,1.638728,-1.638728,712.2812841,60.831305,10.0059,4803.0,178.0,-178.0,0.737189,0.0567035,-0.0567035,4.52079,2.00348,-2.00348,296.003935,-47.56203,False
1064.02,TESS,CONFIRMED,12.2265595,2.69e-05,-2.69e-05,2.1904379,0.4219775,-0.4219775,2458664.490132,0.001696,-0.001696,1206.3693293,86.60944,-86.60944,2.6014766,1.7533404,-1.7533404,575.3502049,25.8970378,10.0059,4803.0,178.0,-178.0,0.737189,0.0567035,-0.0567035,4.52079,2.00348,-2.00348,296.003935,-47.56203,False
1065.01,TESS,CONFIRMED,2.160344,0.000276,-0.000276,1.828854,0.14481,-0.14481,2458654.347994,0.002094,-0.002094,19357.992992,1487.6189,-1487.6189,22.503541,17.500204,-17.500204,,,13.2851,5780.0,,,1.2,,,4.32928,,,286.36675,-50.06735,False
1066.01,TESS,CONFIRMED,4.606184,0.000392,-0.000392,3.121643,0.078877,-0.078877,2458657.832537,0.001239,-0.001239,13793.034867,1031.5532,-1031.5532,12.962219,0.582183,-0.582183,,,11.9707,5670.0,,,1.07,,,4.3925,,,285.096517,-54.893341,False
1067.01,TESS,CONFIRMED,3.1316735,3.3e-06,-3.3e-06,2.4579197,0.0815638,-0.0815638,2458656.987874,0.000501,-0.000501,14915.6943722,307.91364,-307.91364,9.4995191,0.3442331,-0.3442331,890.5622134,148.6544991,13.1686,4351.0,167.0,-167.0,0.76701,,,4.438,,,288.672005,-59.57935,False
1068.01,TESS,CONFIRMED,3.180362,0.000247,-0.000247,2.111521,0.106258,-0.106258,2458656.633231,0.001251,-0.001251,21192.463324,682.47424,-682.47424,13.446487,0.600679,-0.600679,,,13.2887,5498.0,,,0.92,,,4.47934,,,284.399762,-49.138513,False
1069.01,TESS,CONFIRMED,2.9776446,8e-07,-8e-07,2.962,0.099,-0.099,2460147.378764,0.000256,-0.000256,13022.0,123.052,-123.052,14.4339,0.765765,-0.765765,1461.0,758.324,10.4293,5703.0,188.0,-188.0,1.22,0.06,-0.06,4.25824,0.298282,-0.298282,289.479212,-32.860124,False
