source_id,source_telescope,disposition,period,period_err_upper,period_err_lower,duration,duration_err_upper,duration_err_lower,transit_midpoint,transit_midpoint_err_upper,transit_midpoint_err_lower,depth,depth_err_upper,depth_err_lower,planet_radius,planet_radius_err_upper,planet_radius_err_lower,equilibrium_temp,insolation_flux,stellar_magnitude,stellar_temp,stellar_temp_err_upper,stellar_temp_err_lower,stellar_radius,stellar_radius_err_upper,stellar_radius_err_lower,stellar_logg,stellar_logg_err_upper,stellar_logg_err_lower,ra,dec
K00528.03,KOI,CONFIRMED,20.55280311,3.574e-05,-3.574e-05,2.2013,0.0434,-0.0434,145.02837,0.00138,-0.00138,727.3,18.8,-18.8,2.99,0.53,-0.48,656.0,43.8,14.598,5386.0,80.0,-72.0,1.076,0.191,-0.173,4.322,0.159,-0.13,287.1011,46.896481
K00529.01,KOI,FALSE POSITIVE,2.023123903,1.254e-06,-1.254e-06,1.1829,0.0196,-0.0196,170.513161,0.000476,-0.000476,1288.9,20.5,-20.5,2.87,0.58,-0.25,1266.0,608.26,14.977,5559.0,194.0,-194.0,0.803,0.164,-0.07,4.578,0.034,-0.136,288.84903,47.021969
K00530.01,KOI,CONFIRMED,10.94026745,3.014e-05,-3.014e-05,2.3494,0.0691,-0.0691,170.30551,0.00221,-0.00221,538.6,20.2,-20.2,2.08,0.52,-0.18,764.0,80.52,14.909,5749.0,156.0,-173.0,0.864,0.214,-0.077,4.547,0.042,-0.168,288.67068,47.399139
K03138.02,KOI,CONFIRMED,19.5352551,0.0001018,-0.0001018,1.013,0.145,-0.145,148.20374,0.00531,-0.00531,1732.0,239.0,-239.0,0.53,0.0,0.0,161.0,0.16,17.131,2703.0,0.0,0.0,0.118,0.0,0.0,5.274,0.0,0.0,292.50378,41.830421
K00531.01,KOI,CANDIDATE,3.687469832,3.9e-07,-3.9e-07,1.0668,0.0166,-0.0166,170.8803594,8.45e-05,-8.45e-05,5057.6,18.9,-18.9,5.78,0.22,-0.34,690.0,53.6,14.418,4004.0,79.0,-79.0,0.606,0.023,-0.035,4.659,0.035,-0.015,287.69119,47.546902
K00581.02,KOI,CONFIRMED,151.863949,0.001387,-0.001387,8.577,0.201,-0.201,143.31451,0.00719,-0.00719,747.0,33.9,-33.9,2.41,0.58,-0.23,318.0,2.43,14.807,5713.0,138.0,-173.0,0.893,0.215,-0.086,4.541,0.042,-0.168,293.17133,45.065601
K00582.01,KOI,CONFIRMED,5.945043548,7.553e-06,-7.553e-06,2.7004,0.0376,-0.0376,170.472237,0.00099,-0.00099,800.2,13.2,-13.2,2.69,0.14,-0.23,857.0,127.64,14.808,5105.0,84.0,-76.0,0.868,0.044,-0.076,4.469,0.09,-0.03,291.18338,45.32317
K00092.01,KOI,CONFIRMED,65.7045275,0.0001061,-0.0001061,3.3104,0.0469,-0.0469,137.44275,0.0014,-0.0014,636.1,10.3,-10.3,2.78,0.42,-0.25,472.0,11.72,11.667,5918.0,106.0,-130.0,1.043,0.158,-0.092,4.403,0.08,-0.12,283.37482,43.788219
K00582.02,KOI,CONFIRMED,17.73842886,5.926e-05,-5.926e-05,3.0049,0.0876,-0.0876,148.99011,0.00285,-0.00285,605.5,22.3,-22.3,2.47,0.12,-0.22,596.0,29.74,14.808,5105.0,84.0,-76.0,0.868,0.044,-0.076,4.469,0.09,-0.03,291.18338,45.32317
K04260.04,KOI,CANDIDATE,84.799829,0.003327,-0.003327,15.21,1.1,-1.1,180.4426,0.0296,-0.0296,56.1,4.3,-4.3,1.16,0.05,-0.01,491.0,13.79,11.443,5619.0,93.0,-42.0,1.406,0.05,-0.021,4.07,0.013,-0.011,286.39584,43.075821
K00582.03,KOI,CONFIRMED,9.93962361,5.538e-05,-5.538e-05,3.432,0.103,-0.103,131.58267,0.00421,-0.00421,300.1,15.5,-15.5,1.93,0.09,-0.17,722.0,64.29,14.808,5105.0,84.0,-76.0,0.868,0.044,-0.076,4.469,0.09,-0.03,291.18338,45.32317
K00428.01,KOI,CONFIRMED,6.8731664,2.165e-06,-2.165e-06,6.8569,0.0132,-0.0132,172.518826,0.00024,-0.00024,3753.8,8.4,-8.4,13.44,1.02,-1.12,1482.0,1140.56,14.588,6490.0,129.0,-129.0,2.179,0.166,-0.182,3.942,0.055,-0.049,296.81369,47.526611
K00429.01,KOI,CONFIRMED,8.600099313,5.05e-06,-5.05e-06,4.0077,0.0199,-0.0199,172.529281,0.00042,-0.00042,2791.6,15.5,-15.5,4.17,0.53,-0.49,760.0,78.72,14.486,5246.0,158.0,-142.0,0.805,0.103,-0.094,4.501,0.102,-0.085,297.70023,47.86375
K00430.01,KOI,CONFIRMED,12.37646897,1.383e-05,-1.383e-05,2.7075,0.0376,-0.0376,179.404945,0.000869,-0.000869,1709.0,23.8,-23.8,2.53,0.12,-0.11,483.0,12.87,14.897,4200.0,84.0,-84.0,0.607,0.028,-0.028,4.664,0.022,-0.025,285.48505,48.054321
K00430.02,KOI,CANDIDATE,9.340538,0.0001052,-0.0001052,2.57,0.292,-0.292,135.12248,0.00859,-0.00859,200.8,22.6,-22.6,0.84,0.04,-0.04,530.0,18.69,14.897,4200.0,84.0,-84.0,0.607,0.028,-0.028,4.664,0.022,-0.025,285.48505,48.054321
K01353.03,KOI,CONFIRMED,330.071558,0.006272,-0.006272,4.295,0.398,-0.398,340.9871,0.0109,-0.0109,616.7,66.0,-66.0,2.94,0.46,-0.38,286.0,1.58,13.956,5933.0,107.0,-119.0,1.115,0.174,-0.142,4.342,0.115,-0.115,297.46533,42.882839
K00431.01,KOI,CONFIRMED,18.87022157,2.58e-05,-2.58e-05,3.1404,0.0405,-0.0405,178.71167,0.00105,-0.00105,1096.6,16.8,-16.8,2.82,0.53,-0.39,621.0,35.13,14.262,5402.0,175.0,-159.0,0.865,0.164,-0.119,4.452,0.126,-0.14,282.46051,48.257118
K00070.05,KOI,CONFIRMED,19.5776073,0.0001427,-0.0001427,3.382,0.17,-0.17,135.2032,0.00597,-0.00597,98.1,6.0,-6.0,0.9,0.1,-0.08,628.0,36.82,12.498,5465.0,109.0,-109.0,0.925,0.101,-0.083,4.449,0.085,-0.085,287.698,42.338718
K00484.01,KOI,CONFIRMED,17.20522898,2.46e-05,-2.46e-05,3.6688,0.0405,-0.0405,175.05878,0.0011,-0.0011,1080.6,16.6,-16.6,2.22,0.33,-0.16,553.0,22.05,14.472,5211.0,141.0,-141.0,0.689,0.1,-0.05,4.643,0.03,-0.09,291.2211,50.581299
K00485.01,KOI,FALSE POSITIVE,17.90766147,3.764e-05,-3.764e-05,5.396,0.111,-0.111,175.55977,0.00176,-0.00176,1089.3,18.7,-18.7,4.89,1.59,-0.53,731.0,67.59,14.162,6153.0,165.0,-202.0,0.993,0.324,-0.108,4.471,0.054,-0.216,296.10959,51.005501
K00486.01,KOI,CONFIRMED,22.18332255,4.401e-05,-4.401e-05,5.1364,0.0539,-0.0539,169.49619,0.00158,-0.00158,748.1,12.2,-12.2,2.78,0.38,-0.39,646.0,41.24,14.118,5565.0,111.0,-100.0,1.03,0.144,-0.144,4.361,0.138,-0.103,289.52115,51.237309
K02342.02,KOI,FALSE POSITIVE,354.78194,0.01105,-0.01105,6.46,1.1,-1.1,175.7246,0.0156,-0.0156,193.0,32.6,-32.6,30.53,5.05,-7.56,325.0,2.62,13.037,5798.0,116.0,-81.0,1.525,0.252,-0.378,4.025,0.208,-0.112,293.72586,47.24704
K00487.01,KOI,CONFIRMED,7.65880048,1.326e-05,-1.326e-05,3.0427,0.0459,-0.0459,173.03964,0.00137,-0.00137,668.2,13.6,-13.6,2.19,0.56,-0.23,858.0,128.18,14.528,5657.0,152.0,-152.0,0.855,0.215,-0.092,4.508,0.069,-0.161,290.24704,52.149132
K00488.01,KOI,CONFIRMED,9.3789167,2.173e-05,-2.173e-05,3.3427,0.0617,-0.0617,176.45197,0.00188,-0.00188,563.5,15.1,-15.1,2.03,0.41,-0.27,803.0,98.22,14.72,5684.0,170.0,-170.0,0.808,0.162,-0.108,4.493,0.112,-0.138,286.9639,37.829708
K00532.01,KOI,CONFIRMED,4.221626193,5.023e-06,-5.023e-06,3.0619,0.0416,-0.0416,173.699895,0.000919,-0.000919,658.0,9.0,-9.0,2.87,0.96,-0.32,1176.0,453.2,14.708,6123.0,171.0,-192.0,0.987,0.329,-0.11,4.472,0.052,-0.221,284.2572,47.68895
K00533.01,KOI,CONFIRMED,16.54967098,4.378e-05,-4.378e-05,4.3808,0.0856,-0.0856,171.69398,0.00208,-0.00208,744.5,17.0,-17.0,2.95,0.63,-0.41,656.0,43.72,14.68,5372.0,160.0,-160.0,0.916,0.194,-0.129,4.434,0.112,-0.154,280.64136,47.751942
K00085.02,KOI,CONFIRMED,2.154911236,2.507e-06,-2.507e-06,3.1341,0.027,-0.027,133.498613,0.000939,-0.000939,99.7,1.4,-1.4,1.42,0.06,-0.08,1740.0,2162.35,11.018,6181.0,68.0,-86.0,1.424,0.056,-0.085,4.22,0.033,-0.027,288.68869,41.15118
